Her er 100 linjer med eksempeldata til logg.txt. Jeg har lagt inn en blanding av OK og FAIL, flere brukere, og 8 ugyldige linjer (for ̴ teste at programmet h̴ndterer feil uten ̴ krasje).
"2026-03-01;ola;OK"
"2026-03-01;kari;OK"
"2026-03-01;per;FAIL"
"2026-03-01;anne;OK"
"2026-03-01;ola;FAIL"
"2026-03-02;kari;OK"
"2026-03-02;per;OK"
"2026-03-02;anne;FAIL"
"2026-03-02;ola;OK"
"2026-03-02;sara;OK"
"2026-03-03;ola;OK"
"2026-03-03;kari;FAIL"
"2026-03-03;per;OK"
"2026-03-03;anne;OK"
"2026-03-03;sara;FAIL"
"2026-03-04;ola;OK"
"2026-03-04;kari;OK"
"2026-03-04;per;FAIL"
"2026-03-04;anne;OK"
"2026-03-04;sara;OK"
"2026-03-05;ola;FAIL"
"2026-03-05;kari;OK"
"2026-03-05;per;OK"
"2026-03-05;anne;FAIL"
"2026-03-05;sara;OK"
"2026-03-06;ola;OK"
"2026-03-06;kari;OK"
"2026-03-06;per;FAIL"
"2026-03-06;anne;OK"
"2026-03-06;sara;FAIL"
"2026-03-07;ola;OK"
"2026-03-07;kari;FAIL"
"2026-03-07;per;OK"
"2026-03-07;anne;OK"
"2026-03-07;sara;OK"
"2026-03-08;ola;FAIL"
"2026-03-08;kari;OK"
"2026-03-08;per;OK"
"2026-03-08;anne;FAIL"
"2026-03-08;sara;OK"
"2026-03-09;ola;OK"
"2026-03-09;kari;OK"
"2026-03-09;per;FAIL"
"2026-03-09;anne;OK"
"2026-03-09;sara;FAIL"
"2026-03-10;ola;OK"
"2026-03-10;kari;FAIL"
"2026-03-10;per;OK"
"2026-03-10;anne;OK"
"2026-03-10;sara;OK"
"2026-03-11;ola;FAIL"
"2026-03-11;kari;OK"
"2026-03-11;per;OK"
"2026-03-11;anne;FAIL"
"2026-03-11;sara;OK"
"2026-03-12;ola;OK"
"2026-03-12;kari;OK"
"2026-03-12;per;FAIL"
"2026-03-12;anne;OK"
"2026-03-12;sara;FAIL"
"2026-03-13;ola;OK"
"2026-03-13;kari;FAIL"
"2026-03-13;per;OK"
"2026-03-13;anne;OK"
"2026-03-13;sara;OK"
"2026-03-14;ola;FAIL"
"2026-03-14;kari;OK"
"2026-03-14;per;OK"
"2026-03-14;anne;FAIL"
"2026-03-14;sara;OK"
"2026-03-15;ola;OK"
"2026-03-15;kari;OK"
"2026-03-15;per;FAIL"
"2026-03-15;anne;OK"
"2026-03-15;sara;FAIL"
"2026-03-16;ola;OK"
"2026-03-16;kari;FAIL"
"2026-03-16;per;OK"
"2026-03-16;anne;OK"
"2026-03-16;sara;OK"
"2026-03-17;ola;FAIL"
"2026-03-17;kari;OK"
"2026-03-17;per;OK"
"2026-03-17;anne;FAIL"
"2026-03-17;sara;OK"
"2026-03-18;ola;OK"
"2026-03-18;kari;OK"
"2026-03-18;per;FAIL"
"2026-03-18;anne;OK"
"2026-03-18;sara;FAIL"
"2026-03-19;ola;OK"
"2026-03-19;kari;FAIL"
"2026-03-19;per;OK"
"2026-03-19;anne;OK"
"2026-03-19;sara;OK"
"2026-03-20;ola;FAIL"
"2026-03-20;kari;OK"
"2026-03-20;per;OK"
"2026-03-20;anne;FAIL"
"2026-03-20;sara;OK"
"2026-03-21;ola;OK"
"2026-03-21;kari;OK"
"2026-03-21;per;FAIL"
"2026-03-21;anne;OK"
"2026-03-21;sara;FAIL"
"2026-03-22;ola;OK"
"2026-03-22;kari;FAIL"
"2026-03-22;per;OK"
"2026-03-22;anne;OK"
"2026-03-22;sara;OK"
"2026-03-23;ola;FAIL"
"2026-03-23;kari;OK"
"2026-03-23;per;OK"
";ola;OK"
"2026-03-24;ola"
"2026-03-24;ola;MAYBE"
"2026-13-40;per;OK"
"2026-03-24; ;OK"
"2026-03-24;ola;OK;EXTRA"
"2026-03-25;kari;OK"
 
